model,threshold,accuracy,recall,precision,f1,roc_auc
Model 4 - Logistic Regression (Precision-Recall Threshold = 0.30),0.3,0.9573333333333334,0.7916666666666666,0.7702702702702703,0.7808219178082192,0.9720634627990822
Model 2 - Logistic Regression (Statsmodels),0.5,0.9566666666666667,0.6527777777777778,0.8623853211009175,0.7430830039525692,0.9712901507702393
Model 3 - Logistic Regression (ROC-Optimal Threshold = 0.089),0.08898259660898487,0.8973333333333333,0.9375,0.48214285714285715,0.6367924528301887,0.9720634627990822
Model 5 - Logistic Regression (Sequential Feature Selection),0.5,0.6653333333333333,0.9930555555555556,0.2220496894409938,0.3629441624365482,0.9289218698787283
Model 1 - Logistic Regression (Scikit-learn),0.5,0.6546666666666666,0.9930555555555556,0.21666666666666667,0.35572139303482586,0.9692774909865618
